@relation master

@attribute 'First Name' {Jahlil,Myles,Joshua,Karl,Stanley,Justise,Trey,Ben,Jaylen,Marquese,Zion,Jalen,Jamison,Manny,Onyeka,Akok,Isaiah,Trayce,Precious,Dangelo,Devin,Brandon,Jamal,Anthony,Kihei,Caleb,Max,Keaston,Tyger,Carlos,Talon,Yuri,Nico,Jordan,Carsen,Kevin,Juan,Kris,Darius,Chris,Lonny,David,Preston,Troy,Udonis,Tony,Stromile,Vincent,Tayshaun,Jules,Josh,Travis,Jay,Brian,Lavell,Gary,Matt,Rod,Larry,Marcus,Bernard,Jitim,Julius,Bryant,Mike,Andre,Marquis,Kyle,Daniel,Bj,Jawad,Michael,Terence,Vedran,Ricky,Hakim,Ryan,Chuck,Jj,Nik,Justin,Rashad,Eric,Shelden,Jeff,Greg,Maurice,Adam,Paul,Dee,Alando,Carl,Curtis,Craig,Randy,Allan,Gerry,Julian,Jr,Al,Dion,Quincy,Renaldo,Jermareo,James,Cliff,Jack,Toney,Sean,Drew,Geary,Glen,Randolph,Charles,Joakim,Darian,Steven,Kc,Ad,Tyrese,Tyler,Jamelle,Terrence,Sharaud,Wesley,Dominic,Sam,Jerel,Garrett,Richard,Korvotney,Deon,Jon,Wayne,Trevor,Greivis,Deshawn,Raymar,Eugene,Jerome,Lazar,Deonta,Dasean,Scottie,Luke,Albert,Perry,Jarvis,Malcolm,Nolan,Evan,Demetri,Robbie,Jajuan,Kalin,Etwaun,Talor,Marshon,Corey,Austin,Dominique,Jeremy,Delvon,Alex,Aj,Patrick,Draymond,William,John,Darryl,Ashton,Kemba,Terrance,Storm,Festus,Jamychal,Mason,Durand,Erick,Tim,Christian,Kenny,Reginald,Joe,Keith,Deshaun,Roy,Dj,Edwin,Cleveland,Bryce,Donte,Patric,Quinn,Tre,Aaron,Darrun,Jayvaughn,Ladontae,Hunter,Tj,Olivier,Brice,Shavon,Denzel,Kellen,Dvauntes,Gavin,Nerlens,Asauhn,Laimonas,Armani,Willie,Jamel,Kennedy,Jaron,Peter,Zak,Nigel,Billy,Bobby,Sebastian,Damian,Jimmie,Moses,Grayson,Bonzie,Joel,Jaesean,Isaac,Shep,Vince,Melo,Nate,Phil,Angel,Desi,Khadeen,Kelan,Trevon,Yante,Glynn,Ethan,Eli,Jessie,Derek,Horace,Aric,Kevarrius,Donta,Tyus,Ky,Cassius,Lamar,Alpha,Shamorie,Kamar,Markus,Adrio,Clevon,Robert,Grant,Anfernee,Luka,Nicolas,Abdul,Doug,Frank,Casey,Nick,Dan,Sherron,Dejuan,Andrew,Shane,Emeka,Ty,Jameer,Carmelo,Dwyane,Blake,Stephen,Jason,Kawhi}
@attribute 'Last Name' {Okafor,Turner,Morgan,Anthony,Johnson,Winslow,Lyles,Simmons,Brown,Chriss,Williamson,Smith,Battle,Bates,Okongwu,Akok,Stewart,Jackson,Achiuwa,Russell,Booker,Ingram,Murray,Cowan,Clark,Hunter,Edwards,Abmas,Willis,Campbell,Paez,Cooper,Collins,Mannion,Lyons,Durant,Dixon,Lang,Grundy,Songaila,Williams,Baxter,Braswell,Graves,Shumpert,Murphy,Haslem,Kitchings,Swift,Yarbrough,Prince,Camara,Howard,Boozer,Watson,Cook,Blanchard,Buchanan,Carroll,Bell,Grizzard,Satchell,Haislip,Robinson,Young,Page,Matthews,Sweetney,Barrett,Rice,Daniels,Estill,Davis,Ewing,Elder,Hodge,Wilkinson,Hill,Dials,Vukusic,Shields,Gordon,Warrick,Gomes,Thomas,Crump,Lee,Hayes,Redick,Caner,Gray,Mccants,Horner,Brunner,Ager,Haluska,Horton,Tucker,Bowman,Krauser,Sumpter,Pittsnogle,Foye,Ray,Mcnamara,Terrell,Reynolds,Thornton,Harris,Douby,Bass,Balkman,Davidson,Wallace,Gist,Hammonds,Mcclinton,Douglas,Singletary,Neitzel,Claxton,Morris,Rhodes,Noah,Horford,Townes,Rivers,Vassallo,Hansbrough,Cornley,Adrien,Curry,Devendorf,James,Mcneal,Temple,Hendrix,Barber,Thompson,Scheyer,Ellington,Vasquez,Sims,Harvey,Dyson,Hayward,Vaughn,Butler,Harangody,Washington,Chism,Stevenson,Varnado,Scott,Delaney,Allen,Singler,Diebler,Mccamey,Hummel,Lucas,Moore,Brooks,Fisher,Freeman,Jones,Hazell,Tyus,Ogilvy,Patterson,Muldrow,Zeller,Green,Taylor,Gatens,Buford,Shurna,Bryant,Gibbs,Walker,Miller,Henry,Thompkins,Warren,Ezeli,Snaer,Plumlee,Frazier,Paul,Watford,Crawford,Triche,Gabriel,Buckner,Mckie,Appling,Hardaway,Devyn,Newbill,Fuquan,Melvin,Cotton,Brogdon,Demps,Hollins,White,Hilliard,Pinkston,Henton,Harrison,Mickelson,Hanlan,Georges-Hunt,Paige,Hammons,Valentine,Ferrell,Dunham,Arcidiacono,Ware,Carrera,Noel,Chatkevicius,Cauley,Artis,Meeks,Blossomgame,Jok,Irvin,Garrett,Hart,Portis,Saiz,Kornet,Mickey,Kingsley,Colson,Berry,Tate,Haas,Garner,Trimble,Mcintosh,Mason,Booth,Delgado,Rodriguez,Carrington,Martin,Bluiett,Maten,Maye,Watsonjr,Happ,Cain,Govan,Brunson,Ogbeide,Nebo,Spencer,Alexander,Silva,Holman,Hall,Winston,Stevens,Diallo,Ponds,Baldwin,Powell,Bailey,Wiley,Mclemore,Garza,Gafford,Ado,Guy,Mcdermott,Kaminsky,Brewer,Jacobsen,Lofton,Roy,Simien,Fazekas,Dickau,Collison,Kaman,Gooden,Love,West,May,Blair,Morsell,Oden,Bogut,Beasley,Battier,Ford,Lawson,Wall,Morrison,Nelson,Wade,Griffin,Leonard}
@attribute 'Height in Inches' numeric
@attribute 1done {Yes,No}
@attribute 'Freshman Year' numeric
@attribute School {Duke,Texas,'Long Beach State',Kentucky,Arizona,LSU,California,Washington,Maryland,'George Washington','NC State',USC,UConn,Siena,Indiana,Memphis,'Ohio State',Clemson,Virginia,'Mississippi Valley State','Missouri State','Oral Roberts','Incarnate Word',UCLA,'Austin Peay','Morehead State','Saint Louis',Furman,Purdue,UNC,'Wake Forest','Ball State',Georgetown,'Notre Dame',Syracuse,Florida,'South Carolina',Tennessee,Illinois,Michigan,Villanova,'Boston College',Alabama,Arkansas,Northwestern,Pitt,'Virginia Tech','Seton Hall','Miami FL',Georgia,Auburn,'Georgia Tech',Wisconsin,Mercer,Rutgers,Providence,'Florida Atlantic',Iowa,'Michigan State','Iowa State',Jacksonville,'West Virginia',Vanderbilt,'Eastern Illinois','Florida State','Penn State','Mississippi State',Louisville,Marquette,Dayton,Cincinnati,'Eastern Kentucky','High Point','South Florida','Western Illinois',Bradley,'Ole Miss','Central Arkansas',UTEP,'Southern Miss',DePaul,Minnesota,'Texas A&amp;M-Corpus Christi','St. Johns NY',Nebraska,Butler,'Central Michigan',Xavier,Dartmouth,'Saint Francis PA',Creighton,Stanford,Kansas,Nevada,Utah,'Kansas State',Gonzaga,'St. Josephs',Oklahoma,Davidson,Marshall,'San Diego State'}
@attribute Conference {ACC,'Big 12','Big West',SEC,Pac-12,'Big Ten',A-10,AAC,MAAC,SWAC,MVC,Summit,Southland,OVC,Southern,MAC,'Big East',TAAC,A-Sun,'Sun Belt','Big South',WAC,CUSA,Ind,Ivy,NEC,Pac-10,MWC,WCC}
@attribute 'Games Played' numeric
@attribute 'Games Started' numeric
@attribute 'Minutes Played per Game' numeric
@attribute 'Field Goals per Game' numeric
@attribute 'Field Goals Attempted per Game' numeric
@attribute 'Field Goals \%' numeric
@attribute '2-Pointers per Game' numeric
@attribute '2-Pointers Attempted per Game' numeric
@attribute '2-Pointers \%' numeric
@attribute '3-Pointers per Game' numeric
@attribute '3-Pointers Attempted per game' numeric
@attribute '3-Pointer \%' numeric
@attribute 'Free Throws per Game' numeric
@attribute 'Free Throws Attempted per Game' numeric
@attribute 'Free Throw \%' numeric
@attribute 'Offensive Rebounds per Game' numeric
@attribute 'Defensive Rebounds per Game' numeric
@attribute 'Total Rebounds per game' numeric
@attribute 'Assists per Game' numeric
@attribute 'Steals per Game' numeric
@attribute 'Blocks per Game' numeric
@attribute 'Turnovers per Game' numeric
@attribute 'Fouls per Game' numeric
@attribute 'Points per Game' numeric
@attribute 'Strength of Season' numeric

@data
Damian,Jones,82,No,2013,Vanderbilt,SEC,31,28,25.7,4.5,8.2,0.543,4.5,8.2,0.543,0,0,?,2.4,4.3,0.545,1.8,3.8,5.7,0.2,0.3,1.4,1.8,3.4,11.3,6.49
Jimmie,Taylor,82,No,2013,Alabama,SEC,32,18,16.9,1.2,1.9,0.613,1.2,1.9,0.613,0,0,?,0.7,1.6,0.404,1.3,2,3.3,0.2,0.2,1.3,0.5,2.3,3,8.88
Luke,Kornet,84,No,2013,Vanderbilt,SEC,30,2,15.4,1.5,4.4,0.344,0.8,1.4,0.571,0.7,3,0.236,0.3,0.5,0.533,0.6,1.6,2.3,0.8,0.3,0.6,0.7,1.1,4,6.49
Jordan,Mickey,80,No,2013,LSU,SEC,34,34,32.8,5.1,9.5,0.534,5.1,9.3,0.543,0,0.1,0,2.7,3.9,0.695,2.3,5.6,7.9,1.1,0.6,3.1,2.3,2.2,12.8,6.61
Moses,Kingsley,82,No,2013,Arkansas,SEC,32,0,11.5,1.3,2.5,0.531,1.3,2.5,0.532,0,0.1,0.5,1.3,2,0.651,1.2,2,3.2,0.2,0.4,1.5,0.4,1.3,4,5.57
Grayson,Allen,76,No,2014,Duke,ACC,35,0,9.2,1.3,3,0.425,0.8,1.5,0.5,0.5,1.5,0.346,1.3,1.5,0.849,0.3,0.7,1,0.4,0.3,0.1,0.4,1.2,4.4,9.87
Bonzie,Colson,77,No,2014,'Notre Dame',ACC,32,1,12.1,2.1,3.5,0.595,2,3.3,0.625,0,0.2,0.143,1.4,1.9,0.754,0.8,1.8,2.7,0.4,0.6,0.7,0.4,1.3,5.6,7.02
Joel,Berry,72,No,2014,UNC,ACC,30,0,13.2,1.3,3.3,0.404,0.8,1.7,0.451,0.6,1.6,0.354,0.9,1.2,0.757,0.1,0.8,0.9,1.5,0.4,0,0.7,1.5,4.2,11.76
Justin,Jackson,71,No,2014,Tennessee,SEC,4,1,1.3,0,0.5,0,0,0.5,0,0,0,?,0,0.5,0,0.5,0.3,0.8,0,0,0,0,0,0,7.76
Jaesean,Tate,76,No,2014,'Ohio State','Big Ten',35,16,22,3.6,6.1,0.589,3.5,5.6,0.631,0.1,0.5,0.158,1.5,2.9,0.52,1.9,3.1,5,0.3,0.9,0.6,1.2,2.5,8.8,7.37
Isaac,Haas,86,No,2014,Purdue,'Big Ten',34,11,14.6,2.7,5,0.535,2.7,5,0.535,0,0,?,2.2,4.1,0.547,1.6,2.5,4.1,0.3,0.1,0.7,1.6,2.1,7.6,7.64
Shep,Garner,74,No,2014,'Penn State','Big Ten',34,32,28.8,3.1,8.4,0.364,1.3,3.3,0.405,1.7,5.1,0.337,1.4,1.7,0.793,0.5,2.2,2.7,2.3,1,0.1,1.4,2,9.2,7.1
Vince,Edwards,?,No,1994,'Central Michigan',MAC,25,?,?,5.1,12.3,0.412,3.9,9.1,0.425,1.2,3.2,0.375,1.7,2.4,0.689,?,?,3,2.1,0.8,0.2,?,?,13,1.64
Melo,Trimble,75,No,2014,Maryland,'Big Ten',35,35,33.5,4.3,9.7,0.444,2.5,5.4,0.468,1.7,4.2,0.412,5.9,6.9,0.863,0.2,3.7,3.9,3,1.3,0.1,2.5,1.9,16.2,7.63
Bryant,Mcintosh,75,No,2014,Northwestern,'Big Ten',32,30,33.3,4.2,9.9,0.421,2.9,6.5,0.452,1.3,3.4,0.364,1.8,2.1,0.853,0.3,2.2,2.5,4.7,0.3,0.2,2.5,1.1,11.4,7.2
Nate,Mason,73,No,2014,Minnesota,'Big Ten',33,9,26.1,3.5,8.5,0.409,2.2,5.2,0.422,1.3,3.3,0.389,1.5,2.5,0.614,0.5,2.3,2.8,2.8,1.8,0.1,1.1,1.8,9.8,7.21
Phil,Booth,75,No,2014,Villanova,'Big East',36,0,14.5,2,3.6,0.563,1.1,1.7,0.645,0.9,1.8,0.485,0.9,1.3,0.739,0.3,1.3,1.5,1.4,0.3,0,0.8,1.4,5.8,7.55
Angel,Delgado,81,No,2014,'Seton Hall','Big East',31,29,28.2,3.9,7,0.555,3.9,7,0.558,0,0,0,1.5,3.6,0.414,3.6,6.2,9.8,0.9,0.5,1.3,1.3,2.5,9.3,7.56
Desi,Rodriguez,78,No,2014,'Seton Hall','Big East',31,2,16.6,2,4.5,0.446,2,4.1,0.48,0,0.4,0.083,1.6,2.7,0.602,1.7,2.8,4.5,0.5,0.8,0.3,0.8,2.3,5.6,7.56
Khadeen,Carrington,75,No,2014,'Seton Hall','Big East',31,10,25,2.9,7.6,0.383,2.4,5.6,0.417,0.5,1.9,0.283,2.5,3.3,0.752,0.9,2,2.9,1.8,0.8,0.2,1.6,2.4,8.8,7.56
Kelan,Martin,78,No,2014,Butler,'Big East',34,0,14.6,2.7,6.5,0.412,2.1,4.2,0.5,0.6,2.3,0.247,1.2,1.8,0.7,0.6,1.4,2.1,0.4,0.1,0.2,1,1.6,7.1,8.62
Trevon,Bluiett,78,No,2014,Xavier,'Big East',37,32,28.3,3.6,8.5,0.422,2.4,4.8,0.497,1.2,3.7,0.326,2.6,3.5,0.746,1.4,2.8,4.2,1.9,0.6,0.1,1.4,2.2,11,9.48
Yante,Maten,80,No,2014,Georgia,SEC,32,2,18.2,1.8,4.3,0.416,1.8,4.3,0.419,0,0,0,1.4,2.2,0.648,1.8,2.5,4.3,0.3,0.3,1.4,0.9,2.1,5,8.6
Luke,Maye,80,No,2015,UNC,ACC,33,0,5.4,0.5,1.2,0.39,0.4,1,0.412,0.1,0.2,0.286,0.2,0.4,0.429,0.8,0.9,1.7,0.2,0.1,0.1,0.3,0.8,1.2,10.69
Jerome,Robinson,76,No,2015,Bradley,MVC,27,4,13.9,1,2.7,0.365,0.9,2.5,0.358,0.1,0.3,0.429,1,1.5,0.65,?,?,2,1.1,0.4,0.3,0.7,1.3,3.1,2.11
Glynn,Watsonjr,72,No,2015,Nebraska,'Big Ten',34,16,24.3,3.4,8.7,0.389,2.8,6.5,0.43,0.6,2.2,0.267,1.2,1.6,0.792,0.2,1.6,1.9,2.4,1.2,0.1,1,2.1,8.6,5.57
Jordan,Murphy,78,No,2015,Minnesota,'Big Ten',31,20,26.5,4.4,9.5,0.461,4.1,8.1,0.5,0.3,1.3,0.22,2.6,4.3,0.612,2.8,5.2,8,0.7,1,1,1.8,3.3,11.6,6.86
Ethan,Happ,82,No,2015,Wisconsin,'Big Ten',35,35,28.1,4.7,8.7,0.538,4.7,8.7,0.538,0,0,?,3.1,4.8,0.643,2.5,5.4,7.9,1.3,1.8,0.9,2.2,3,12.4,9.4
Eli,Cain,78,No,2015,DePaul,'Big East',31,29,28.3,3.6,8.3,0.434,2.6,5.9,0.437,1,2.4,0.425,2.2,3.3,0.657,0.5,2.5,3,1.8,0.7,0.4,2,2.7,10.3,8.34
Jessie,Govan,82,No,2015,Georgetown,'Big East',33,6,17.7,2.2,4.5,0.48,1.7,3.6,0.475,0.4,0.8,0.5,2.1,2.5,0.831,0.8,3.3,4.1,0.8,0.4,1,1.8,3.1,6.8,8.49
Jalen,Brunson,75,No,2015,Villanova,'Big East',40,39,24,3.2,7,0.452,1.9,3.8,0.51,1.2,3.2,0.383,2.1,2.7,0.774,0.5,1.3,1.8,2.5,0.7,0,1.8,1.8,9.6,9.71
Derek,Ogbeide,81,No,2015,Georgia,SEC,29,15,15,1.7,3.7,0.472,1.7,3.7,0.472,0,0,?,0.6,1.2,0.472,1.8,3.3,5.2,0.4,0.1,0.8,1.2,1.7,4,8.47
Tyler,Davis,79,No,2000,Dartmouth,Ivy,25,0,?,0.5,1.6,0.317,0.3,0.8,0.381,0.2,0.8,0.25,0.5,0.8,0.571,0.2,0.5,0.7,0.2,0.3,0,0.4,1,1.7,-7.34
Josh,Nebo,81,No,2015,'Saint Francis PA',NEC,30,29,22.8,1.9,3.8,0.487,1.9,3.8,0.487,0,0,?,1.2,2.3,0.522,1.9,3.2,5.1,0.5,0.2,1.9,0.9,2.5,4.9,-9.06
Horace,Spencer,80,No,2015,Auburn,SEC,31,18,18.1,2,4.8,0.42,2,4.8,0.423,0,0,0,1.1,2.2,0.485,2.1,2.8,4.9,0.5,0.5,2.1,1.4,3.7,5.1,7.54
Kyle,Alexander,83,No,2015,Tennessee,SEC,32,11,12.2,0.5,1.2,0.432,0.5,1.2,0.432,0,0,?,0.7,1,0.656,1.5,1.6,3.2,0.1,0.2,1,0.5,1.7,1.7,7.86
Chris,Silva,81,No,2015,'South Carolina',SEC,32,6,13.3,1.7,3.4,0.482,1.7,3.4,0.482,0,0,?,2.1,3.4,0.609,1.8,2.7,4.5,0.2,0.4,0.9,1.1,3.1,5.4,5.83
Aric,Holman,82,No,2015,'Mississippi State',SEC,21,3,9.2,0.9,2.1,0.409,0.8,1.5,0.516,0.1,0.6,0.154,0,0.3,0.167,0.4,1.4,1.9,0.4,0.1,0.7,0.8,1.8,1.9,6.01
Kevarrius,Hayes,81,No,2015,Florida,SEC,35,6,11.5,1,1.4,0.7,1,1.4,0.7,0,0,?,0.8,1.7,0.475,1.3,1.3,2.6,0.2,0.3,0.6,0.5,1.8,2.8,9.19
Donta,Hall,81,No,2015,Alabama,SEC,33,0,12.8,1.1,1.8,0.607,1.1,1.8,0.607,0,0,?,0.6,1.3,0.432,1.4,2.9,4.3,0.2,0.5,1.7,0.5,2.5,2.8,8.62
Tyus,Battle,78,No,2016,Syracuse,ACC,34,25,30.7,3.7,8.6,0.433,2,3.8,0.519,1.8,4.8,0.366,2.1,2.6,0.798,0.3,1.8,2.1,1.7,1.3,0.2,1.1,1.9,11.3,8.47
Ky,Bowman,73,No,2016,'Boston College',ACC,32,29,28.8,5,10.2,0.492,3.1,5.8,0.524,1.9,4.3,0.449,2.3,3.3,0.712,0.8,4.1,4.8,2.9,1.2,0.1,2.9,2.4,14.3,8.07
Cassius,Winston,73,No,2016,'Michigan State','Big Ten',35,5,20.7,2.2,5.2,0.423,1.4,3.2,0.45,0.8,2,0.38,1.6,2,0.775,0.2,1.7,1.8,5.2,0.7,0.1,2.2,2.1,6.7,10.5
Lamar,Stevens,80,No,2016,'Penn State','Big Ten',33,33,27.8,4.5,10.5,0.429,4.2,9.5,0.438,0.3,1,0.344,3.4,4.4,0.767,1.6,3.9,5.5,1.7,0.8,0.6,2.2,2.7,12.7,8.9
Alpha,Diallo,79,No,2016,Providence,'Big East',33,16,21.4,1.8,4.4,0.407,1.5,3.3,0.463,0.3,1.1,0.243,1.9,2.5,0.738,1,2.2,3.2,1.2,0.9,0.2,1.2,2.4,5.7,7.84
Shamorie,Ponds,73,No,2016,'St. Johns NY','Big East',33,33,33.6,5.8,13.2,0.439,3.5,7.1,0.494,2.3,6.1,0.375,3.5,4.3,0.823,1.2,3.3,4.4,3.1,2.1,0.2,1.9,1.8,17.4,8.39
Kamar,Baldwin,73,No,2016,Butler,'Big East',34,23,26.9,4.1,8.2,0.495,3,5.4,0.557,1,2.8,0.372,1,1.3,0.756,0.4,3.3,3.7,1.5,1.7,0.5,1.5,2.2,10.1,10.23
Myles,Powell,74,No,2016,'Seton Hall','Big East',33,2,23.8,3.6,9.1,0.392,1.5,2.9,0.521,2.1,6.2,0.332,1.5,1.8,0.817,0.6,1.7,2.2,0.9,0.9,0.2,1,2,10.7,9.25
Markus,Howard,71,No,2016,Marquette,'Big East',31,27,22,4.4,8.7,0.506,1.7,3.8,0.454,2.6,4.8,0.547,1.8,2,0.889,0.3,1.9,2.2,2.3,0.8,0.1,2,2.5,13.2,8.6
Adrio,Bailey,78,No,2016,Arkansas,SEC,27,2,7.4,0.8,1.4,0.564,0.8,1.4,0.564,0,0,?,0.2,0.7,0.316,0.5,0.8,1.3,0.3,0.5,0.3,0.4,1.1,1.9,8.6
Clevon,Brown,80,No,2016,Vanderbilt,SEC,34,1,7.6,0.6,1.5,0.392,0.4,0.7,0.5,0.2,0.8,0.296,0.2,0.4,0.583,0.5,1,1.5,0.1,0,0.4,0.5,1,1.6,10.72
Austin,Wiley,83,No,2016,Auburn,SEC,23,22,18,3.2,5.4,0.584,3.2,5.4,0.584,0,0,?,2.4,5,0.491,2.3,2.4,4.7,0.2,0.2,1.3,1.8,2.6,8.8,7.33
Robert,Williams,80,No,2000,'Florida Atlantic',TAAC,31,7,?,2.2,4.9,0.454,2.2,4.9,0.454,0,0,?,1,1.7,0.574,2.1,2,4.1,0.3,0.3,0.5,0.9,3,5.5,-3.79
Grant,Williams,79,No,2016,Tennessee,SEC,32,29,25.4,4.1,8.2,0.504,3.8,7.2,0.522,0.4,1,0.375,3.9,5.9,0.667,2.9,3,5.9,1.1,0.8,1.9,1.9,3.3,12.6,10.18
Anfernee,Mclemore,79,No,2016,Auburn,SEC,32,1,15.1,2.2,3.2,0.683,2.1,3.1,0.68,0,0,1,1.1,1.8,0.603,1.7,2.8,4.5,0.2,0.4,1.2,0.9,2.4,5.4,7.33
Luka,Garza,83,No,2017,Iowa,'Big Ten',33,26,21.7,4.4,7.9,0.557,3.9,6.5,0.602,0.5,1.4,0.348,2.8,4.1,0.681,2.4,4,6.4,1.1,0.3,1,1.1,2.4,12.1,7.13
Nicolas,Claxton,83,No,2017,Georgia,SEC,33,5,14.7,1.3,3,0.449,1.1,2.3,0.474,0.2,0.7,0.364,1,2,0.523,1.7,2.2,3.9,0.2,0.2,1.3,0.7,1.7,3.9,8.87
Daniel,Gafford,83,No,2017,Arkansas,SEC,35,26,22.6,4.7,7.7,0.605,4.7,7.7,0.605,0,0,?,2.4,4.6,0.528,2.2,4,6.2,0.7,0.5,2.2,1.1,3.3,11.8,9.85
Abdul,Ado,83,No,2017,'Mississippi State',SEC,36,36,26.5,3.1,5.1,0.615,3.1,5.1,0.615,0,0,?,1.6,3.1,0.513,2.9,3.6,6.4,0.4,0.8,1.9,2,2.6,7.8,6.82
Kyle,Guy,74,No,2016,Virginia,ACC,34,7,18.6,2.6,6,0.439,1.1,3,0.382,1.5,3,0.495,0.7,1,0.714,0.1,1.5,1.7,1.3,0.4,0,0.6,1.1,7.5,10.93
Doug,Mcdermott,80,No,2010,Creighton,MVC,39,39,29.1,5.6,10.7,0.525,4.4,7.8,0.571,1.2,3,0.405,2.4,3.2,0.746,2.1,5.1,7.2,1.2,0.3,0.1,2.2,2.1,14.9,1.41
Frank,Kaminsky,84,No,2011,Wisconsin,'Big Ten',35,0,7.7,0.7,1.6,0.411,0.4,0.6,0.619,0.3,1,0.286,0.2,0.4,0.5,0.6,0.8,1.4,0.3,0.1,0.4,0.3,1,1.8,8.24
Corey,Brewer,81,No,2004,Florida,SEC,32,32,24.7,2.7,5.3,0.515,2.2,4.1,0.538,0.5,1.2,0.436,1.6,2.7,0.581,1.5,1.9,3.4,2,1.4,0.4,1.6,2.3,7.5,7.12
Casey,Jacobsen,78,No,1999,Stanford,Pac-10,31,?,28.5,4.5,9.6,0.466,2.1,4.1,0.508,2.4,5.5,0.435,3.1,4.4,0.713,?,?,3,2.3,0.5,0,1.8,1.3,14.5,7.12
Chris,Lofton,74,No,2004,Tennessee,SEC,31,31,29.5,4.5,9.5,0.481,1.5,3,0.516,3,6.5,0.465,1.1,1.3,0.854,0.8,2.8,3.6,1.5,1.3,0.1,1,1.2,13.2,8.37
Brandon,Roy,78,No,2002,Washington,Pac-10,13,2,17.2,2.3,4.6,0.5,2.2,3.8,0.58,0.1,0.8,0.1,1.4,2.8,0.486,1.2,1.7,2.9,1,0.3,0.2,1.4,1.2,6.1,7.28
Wayne,Simien,81,No,2001,Kansas,'Big 12',32,0,15.3,3.1,5.6,0.553,3.1,5.6,0.553,0,0,?,1.9,2.6,0.738,2,3.3,5.3,0.3,0.6,0.8,1.1,1.8,8.1,9.35
Nick,Fazekas,83,No,2003,Nevada,WAC,34,22,26.9,4.8,9,0.528,4.1,7.1,0.575,0.7,2,0.358,2.4,3.1,0.771,2.2,5.4,7.6,0.5,0.5,1.3,0.9,2.1,12.6,5.82
Dan,Dickau,72,No,1997,Washington,Pac-10,28,?,?,1,2.5,0.42,0.5,1.4,0.333,0.6,1.1,0.533,1.1,1.4,0.795,?,?,0.9,1,0.3,0,?,?,3.8,8.32
Nick,Collison,81,No,1999,Kansas,'Big 12',34,33,22.8,4.3,8.6,0.497,4.1,8.2,0.502,0.1,0.4,0.385,1.8,2.7,0.674,?,?,6.9,1.1,1.1,0.9,2.1,2.9,10.5,9.79
Chris,Kaman,84,No,2000,'Central Michigan',MAC,28,1,18.6,3.8,6.5,0.574,3.8,6.5,0.574,0,0,?,2.3,3.2,0.7,1.7,3.1,4.8,0.2,0.5,1.6,1.8,2.4,9.8,0.02
Drew,Gooden,82,No,1999,Kansas,'Big 12',33,8,20.8,4.3,9.6,0.451,4.2,9.1,0.458,0.2,0.5,0.313,1.8,2.8,0.659,?,?,7.5,1.1,0.7,0.8,2.2,2.2,10.6,9.79
Kevin,Love,82,Yes,2007,UCLA,Pac-10,39,38,29.6,5.8,10.4,0.559,5.1,8.3,0.611,0.7,2.1,0.354,5.1,6.6,0.767,3.6,7,10.6,1.9,0.7,1.4,2,1.9,17.5,7.71
Sherron,Collins,71,No,2006,Kansas,'Big 12',38,3,22.3,3.4,7.1,0.478,2.2,4.1,0.532,1.2,3.1,0.405,1.3,1.7,0.766,0.4,1.9,2.3,2.9,0.7,0,1.7,1.8,9.3,6.86
David,West,81,No,1999,Xavier,A-10,33,?,29.4,4.3,8.2,0.532,4.3,8.2,0.532,0,0,?,3,4.5,0.667,?,?,9.1,1.7,1.6,1.1,1.7,2.7,11.7,3.42
Sean,May,81,No,2002,UNC,ACC,11,10,28,4.6,9.8,0.472,4.6,9.5,0.49,0,0.4,0,2.1,3.6,0.575,2.3,5.8,8.1,1,1.5,1.8,1.9,2.2,11.4,10.31
Dejuan,Blair,79,No,2007,Pitt,'Big East',37,36,26,4.5,8.5,0.537,4.5,8.5,0.537,0,0,?,2.5,4,0.624,3.9,5.2,9.1,0.9,1.7,1.1,1.9,2.9,11.6,7.84
Darryl,Morsell,77,No,2017,Maryland,'Big Ten',32,21,28.8,3.2,7.4,0.424,3.1,6.7,0.46,0.1,0.8,0.12,2.3,3.1,0.727,1.6,2.8,4.4,2,0.6,0.5,2.2,2,8.7,7.94
Greg,Oden,84,Yes,2006,'Ohio State','Big Ten',32,31,28.9,5.9,9.6,0.616,5.9,9.6,0.616,0,0,?,3.8,6.1,0.628,3.5,6,9.6,0.7,0.6,3.3,2,2.7,15.7,9.03
Andrew,Bogut,84,No,2003,Utah,MWC,33,33,30.4,5.1,8.8,0.577,5,8.5,0.586,0.1,0.3,0.364,2.2,3.4,0.64,3.2,6.7,9.9,2.2,0.4,1.3,2.6,2.4,12.5,4.53
Michael,Beasley,81,Yes,2007,'Kansas State','Big 12',33,33,31.5,9.3,17.5,0.532,8.2,14.6,0.562,1.1,2.9,0.379,6.5,8.5,0.774,4,8.4,12.4,1.2,1.3,1.6,2.9,2.6,26.2,7.79
Shane,Battier,80,No,1997,Duke,ACC,36,?,?,2.7,4.9,0.539,2.6,4.3,0.597,0.1,0.7,0.167,2.2,3,0.731,?,?,6.4,1.1,1.4,1.5,?,?,7.6,9.33
Tj,Ford,72,No,2001,Texas,'Big 12',33,33,32.4,3.7,9,0.413,3.6,8,0.445,0.2,1,0.152,3.2,4.2,0.775,0.7,3.1,3.8,8.3,2.2,0.1,4,2.8,10.8,9.98
Emeka,Okafor,82,No,2001,UConn,'Big East',34,34,30,3.1,5.2,0.59,3.1,5.2,0.59,0,0,?,1.7,2.7,0.62,2.6,6.4,9,0.8,0.8,4.1,1.4,2.6,7.9,7.43
