id,fname,lname,ht,_done,f_yr,school,conf,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,sos-dum,sos
Jack Mcclinton,Jack,Mcclinton,"6'1""",No,,Siena,MAAC,30,23,32.3,4.6,10.8,0.423,3,6.5,0.467,1.5,4.3,0.357,2.9,3.6,0.815,0.9,4.1,5,2.7,1.1,0,2.6,2.9,13.6,,-2.47
Toney Douglas,Toney,Douglas,"6'1""",No,2004-05,Auburn,SEC,31,31,35.6,5.8,13.6,0.424,3.8,8.3,0.457,2,5.4,0.373,3.4,4.3,0.789,0.8,4.5,5.3,1.8,1.4,0.1,2.5,2.5,16.9,,6.6
Sean Singletary,Sean,Singletary,"6'0""",No,2004-05,Virginia,ACC,29,29,29.9,3.5,9,0.385,2.3,5.4,0.429,1.2,3.7,0.321,2.4,3.1,0.775,0.8,2.2,3,3.9,1.7,0.1,2.4,3.2,10.5,,10.62
Drew Neitzel,Drew,Neitzel,"6'0""",No,,Michigan State,Big Ten,33,14,16.4,1.3,3.4,0.381,0.8,1.9,0.422,0.5,1.5,0.327,0.4,0.6,0.65,0.2,0.6,0.7,2.9,0.5,0,1.4,1.5,3.5,,7.41
Geary Claxton,Geary,Claxton,"6'5""",No,,Penn State,Big Ten,30,30,31.9,4.2,9.8,0.431,3.9,8.8,0.445,0.3,1,0.3,3.9,5.5,0.709,3.1,3.2,6.3,1,0.7,0.8,2.5,2.5,12.7,,7.31
Glen Davis,Glen,Davis,"6'9""",No,2004-05,LSU,SEC,30,28,29.2,4.6,9,0.513,4.5,8.6,0.525,0.1,0.4,0.25,4.2,6.1,0.698,3.4,5.3,8.8,1,1,1.4,1.7,3.1,13.5,,7.77
Randolph Morris,Randolph,Morris,"6'10""",No,2004-05,Kentucky,SEC,34,33,19.8,3.1,5.9,0.528,3.1,5.9,0.528,0,0,,2.6,4.2,0.615,1.5,2.6,4.2,0.7,0.8,0.9,1,3,8.8,,8.1
Charles Rhodes,Charles,Rhodes,"6'8""",No,,Mississippi State,SEC,16,0,6.5,1.2,2,0.594,1.2,1.7,0.704,0,0.3,0,0.6,0.8,0.75,0.5,1.4,1.9,0.1,0.1,0.3,0.3,0.9,2.9,,6.05
Joakim Noah,Joakim,Noah,"6'11""",No,,Florida,SEC,29,0,9.4,1.2,2.1,0.6,1.2,2.1,0.6,0,0,,1,1.8,0.577,0.8,1.7,2.5,0.5,0.2,0.7,0.6,1.6,3.5,,7.12
Al Horford,Al,Horford,"6'10""",No,,Florida,SEC,32,25,22.8,1.9,4,0.48,1.9,4,0.48,0,0,,1.8,3.1,0.582,2.3,4.3,6.5,0.9,0.8,1.6,1,2.5,5.6,,7.12
Darian Townes,Darian,Townes,"6'10""",No,,Arkansas,SEC,30,14,23.8,4.1,7.8,0.519,4,7.8,0.517,0,0,1,2,2.9,0.698,1.9,2.7,4.6,0.5,0.5,1.6,1.2,2.4,10.2,,3.6
Steven Hill,Steven,Hill,"7'0""",No,2004-05,Arkansas,SEC,30,18,15.7,1,1.9,0.509,1,1.9,0.509,0,0,,0.4,0.9,0.462,1,1.3,2.3,0.2,0.5,1.8,0.7,1.9,2.3,,3.6
Kc Rivers,Kc,Rivers,"6'5""",No,,Clemson,ACC,32,12,25,2.5,6.7,0.377,1.2,2.6,0.44,1.4,4.1,0.336,0.7,0.8,0.84,2,2.7,4.8,1.8,1.5,0.2,1.5,2.5,7.1,,4.97
Ad Vassallo,Ad,Vassallo,"6'6""",No,,Virginia Tech,ACC,30,10,16.6,2.5,5.7,0.435,1.4,2.5,0.539,1.1,3.1,0.351,0.8,1.1,0.781,0.7,1.8,2.5,0.9,0.5,0.2,0.9,1.7,6.9,,4.67
Tyrese Rice,Tyrese,Rice,"6'1""",No,2005-06,Boston College,ACC,36,0,20.8,2.8,6.5,0.432,1.1,2,0.521,1.8,4.5,0.391,1.9,2.4,0.773,0.3,1.1,1.4,2.5,0.7,0.1,2.1,1,9.3,,6.1
Tyler Hansbrough,Tyler,Hansbrough,"6'9""",No,2005-06,UNC,ACC,31,30,30.4,6.4,11.3,0.57,6.4,11.1,0.571,0.1,0.1,0.5,6,8.2,0.739,3.6,4.3,7.8,1.3,1.2,0.7,2.5,2.8,18.9,,7.77
Jamelle Cornley,Jamelle,Cornley,"6'6""",No,,Penn State,Big Ten,30,23,30.6,4.5,8.7,0.513,4.5,8.7,0.513,0,0,,2.4,3.8,0.646,2.3,3.4,5.7,1.1,0.8,0,1.6,1.6,11.4,,4.98
Terrence Williams,Terrence,Williams,"6'6""",No,2005-06,Louisville,Big East,33,21,25.1,3.2,8.1,0.391,1.9,4.2,0.467,1.2,3.9,0.31,0.9,1.5,0.612,1,3.7,4.7,2.1,1,0.3,1.7,1.8,8.4,,6.5
Jeff Adrien,Jeff,Adrien,"6'7""",No,,UConn,Big East,33,1,16.5,2.5,4.1,0.61,2.5,4.1,0.61,0,0,,1.5,2.4,0.641,2.1,2.9,5,0.5,0.4,0.8,0.8,1.3,6.5,,6.57
Sharaud Curry,Sharaud,Curry,"5'10""",No,2005-06,Providence,Big East,27,23,33.3,4.4,10.2,0.428,3,6.4,0.468,1.4,3.8,0.359,1.8,2,0.891,1.2,1.9,3.1,3.5,1.1,0.1,2.6,2.8,11.9,,7.68
Wesley Matthews,Wesley,Matthews,"6'5""",No,2005-06,Marquette,Big East,23,14,24.9,2.8,7.1,0.399,2.2,5.7,0.389,0.6,1.4,0.438,2.7,3.5,0.788,1.5,2.6,4,2.2,1.3,0.2,2.3,2.2,9,,8.16
Eric Devendorf,Eric,Devendorf,"6'4""",No,,Syracuse,Big East,35,30,27.1,4.5,10.1,0.445,3.1,6.3,0.486,1.4,3.8,0.376,1.8,2.2,0.821,0.5,2,2.5,2.3,1,0.4,2.3,2.7,12.2,,8.16
Dominic James,Dominic,James,"5'11""",No,,Marquette,Big East,31,31,32.5,5.6,13,0.431,4.3,8.6,0.496,1.3,4.4,0.301,2.7,4.2,0.641,0.8,3.7,4.5,5.4,1.6,0.4,2.8,2.4,15.3,,8.16
Sam Young,Sam,Young,"6'6""",No,2005-06,Pitt,Big East,33,3,20.4,3,5.7,0.521,2.8,5.1,0.563,0.1,0.6,0.19,1.8,2.7,0.693,1.8,2.6,4.4,0.8,0.7,0.6,1.5,1.4,7.9,,7.01
Jerel Mcneal,Jerel,Mcneal,"6'3""",No,,Marquette,Big East,31,31,27.5,4.5,10.1,0.442,4,8.6,0.47,0.4,1.5,0.283,1.7,2.3,0.75,1.3,3.2,4.5,2.7,2.1,0.5,3.8,2.5,11.1,,8.16
Garrett Temple,Garrett,Temple,"6'6""",No,,LSU,SEC,36,35,33.5,1.8,5.4,0.335,1.1,2.4,0.447,0.8,3,0.248,0.7,1,0.676,0.5,2.1,2.6,2.8,1.1,0.9,1.9,2.4,5.1,,8.77
Richard Hendrix,Richard,Hendrix,"6'9""",No,2005-06,Alabama,SEC,31,22,27.1,3.5,6.3,0.557,3.5,6.2,0.56,0,0,0,2.4,3.7,0.647,3,4.9,8,0.8,0.8,1.5,1.8,2.6,9.4,,8.08
